Contador    P0    P1
0	-2.22   -2.22
1194	17.51	-0.17
1195	17.51	-0.17
1196	17.25	-0.17
1197	17.25	-0.17
1198	17.25	-0.17
1199	17.56	-0.17
1200	17.56	-0.17
1201	17.56	-0.17
1202	17.41	-0.17
1203	17.41	-0.17
1204	17.41	-0.17
1205	17.37	-0.17
1206	17.37	-0.17
1207	17.37	-0.17
1208	17.44	-0.17
1209	17.44	-0.17
1210	17.44	-0.17
1211	17.35	-0.17
1212	17.35	-0.17
1213	17.35	-0.17
1214	17.21	-0.17
1215	17.21	-0.17
1216	17.21	-0.17
1217	17.11	-0.17
1218	17.11	-0.17
1219	17.11	-0.17
1220	17.24	-0.17
1221	17.24	-0.17
1222	17.24	-0.17
1223	17.43	-0.17
1224	17.43	-0.17
