Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
56.137	24.44	34.07	-0.03	7.60
56.227	24.90	34.53	0.00	7.63
56.317	23.98	33.61	0.08	7.70
56.407	23.04	32.67	-0.08	7.54
56.497	20.71	30.34	0.06	7.69
56.587	18.19	27.82	-0.04	7.59
56.677	15.44	25.07	-0.01	7.62
56.767	15.86	25.48	0.08	7.71
56.857	22.98	32.60	-0.08	7.55
56.946	29.44	39.07	0.06	7.69
57.036	32.68	42.31	-0.03	7.60
57.126	29.16	38.79	-0.02	7.61
57.216	23.28	32.91	0.08	7.71
57.306	22.33	31.96	-0.08	7.55
57.405	24.67	34.30	-0.06	7.57
57.503	24.49	34.12	-0.02	7.60
57.596	23.63	33.25	0.06	7.69
57.688	22.10	31.73	-0.07	7.56
57.779	19.67	29.30	0.06	7.68
57.876	17.05	26.68	-0.04	7.59
57.966	14.66	24.29	0.08	7.71
58.056	19.35	28.98	-0.08	7.55
58.146	26.65	36.28	0.05	7.68
58.236	31.64	41.27	-0.02	7.61
58.326	31.81	41.44	-0.04	7.59
58.416	25.80	35.43	0.09	7.71
58.506	21.67	31.29	-0.07	7.56
58.596	23.69	33.32	0.04	7.67
58.685	24.89	34.52	-0.01	7.61
58.775	24.26	33.89	-0.05	7.58
58.865	23.45	33.08	0.09	7.71
58.955	21.51	31.14	-0.07	7.56
59.045	18.99	28.62	0.04	7.67
59.141	16.25	25.88	-0.08	7.54
59.277	17.53	27.16	0.02	7.64
59.369	24.98	34.61	-0.01	7.62
59.465	30.89	40.52	0.09	7.71
59.555	32.29	41.92	-0.07	7.56
59.645	26.82	36.44	0.04	7.67
59.735	22.07	31.70	-0.00	7.63
59.825	23.58	33.21	-0.07	7.56
59.915	24.98	34.61	0.10	7.72
60.005	24.38	34.01	-0.06	7.57
60.095	23.65	33.28	0.03	7.66
60.185	22.01	31.64	0.00	7.63
60.275	19.52	29.15	-0.08	7.55
60.365	17.04	26.67	0.09	7.72
60.454	14.72	24.35	-0.06	7.57
